Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
101,Indonésie,0.0,2294596.45,0.0,0.0,0.0,0.0,68.31
102,Iran (R?publique islamique d'),-123.97,0.0,0.0,13083.462,2595067.0,186912.0,0.0
102,Iran (République islamique d'),0.0,698415.36,0.0,0.0,0.0,0.0,87.14
103,Iraq,-1995.84,30501460.638,0.0,81096.3333,150252.63,9373945.68,12070.68
104,Irlande,952.38,4610766.93,0.0,105040.27799999999,260296344.0,84415320.0,33851.52
104,Myanmar,0.0,0.0,823.566886,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
105,Isra?l,-112.31,0.0,0.0,10457.684,84.0,20235.0,0.0
105,Israël,0.0,70750.391,0.0,0.0,0.0,0.0,120.47
106,Italie,331.65,47688323.936,0.0,78633.612,138320766.0,84812598.0,34188.48
107,C?te d'Ivoire,-121.22,0.0,0.0,11502.921,9775.0,85581.0,0.0
107,Côte d'Ivoire,0.0,204399.538,0.0,0.0,0.0,0.0,58.510000000000005
108,Burundi,0.0,0.0,921.0728839999999,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
108,Kazakhstan,-72.27,15406950.24,0.0,93149.514,430560.0,22222080.0,27138.24
109,Jama?que,11.99,0.0,0.0,9574.2693,3720.0,24255.0,0.0
109,Jamaïque,0.0,25865.324,0.0,0.0,0.0,0.0,70.14
110,Japon,997.9200000000001,126764114.18,0.0,102718.467,24288.0,792660.0,3050.64
112,B?larus,0.0,0.0,2580.233801,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
112,Jordanie,-420.75,7823393.82,0.0,81313.5591,3750372.0,3824244.0,22116.24
113,Kirghizistan,-673.2,5213819.16,0.0,87128.4519,2475.0,94743.0,3813.75
114,Kenya,-852.39,32364334.31,0.0,70883.19,11626288.0,2694636.0,16407.04
115,Cambodge,-62.370000000000005,15123003.83,0.0,101670.255,79596.0,2162061.0,3500.28
116,Cambodge,0.0,0.0,540.450981,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
116,R?publique populaire d?mocratique de Cor?e,-52.8,0.0,0.0,10000.2069,33352678.907117646,33120962.228784315,3034.9288039215703
116,République populaire démocratique de Corée,0.0,225481.09,0.0,0.0,0.0,0.0,52.23
117,R?publique de Cor?e,32.56,0.0,0.0,9996.192000000001,810.0,128619.0,0.0
117,République de Corée,0.0,454420.729,0.0,0.0,0.0,0.0,96.39
118,Kowe?t,12.43,0.0,0.0,8417.3408,32616.0,255593.0,0.0
118,Koweït,0.0,32711.991,0.0,0.0,0.0,0.0,98.95
119,Lettonie,413.82,1801716.741,0.0,95696.5104,27592488.0,20150424.0,31016.52
120,Cameroun,0.0,0.0,251.59014,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
120,R?publique d?mocratique populaire lao,23.650000000000002,0.0,0.0,9749.3616,33150.0,124985.0,0.0
120,République démocratique populaire lao,0.0,59823.873999999996,0.0,0.0,0.0,0.0,81.19
121,Liban,-1138.5,4219022.885,0.0,64787.7636,1501542.0,3451728.0,9061.68
122,Lesotho,-13.859999999999992,2026227.61,0.0,98925.345,0.0,611146.0,822.6399999999999
123,Lib?ria,-45.1,0.0,0.0,10683.8055,0.0,1031.0,0.0
123,Libéria,0.0,39232.514,0.0,0.0,0.0,0.0,38.66
124,Canada,0.0,0.0,263.176285,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
124,Libye,-1869.1200000000001,6334130.77,0.0,127257.948,0.0,545.0,0.0
125,Liechtenstein,0.0,3672.8669999999997,0.0,9993.7494,33352678.907117646,33120962.228784315,3034.9288039215703
126,Lituanie,776.16,2937145.86,0.0,107544.834,41500800.0,58362480.0,39508.56
127,?les Marshall,89.54,0.0,0.0,13129.2513,33352678.907117646,33120962.228784315,3034.9288039215703
127,Îles Marshall,0.0,515.376,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
128,Chine - RAS de Macao,93.06,52898.12,0.0,0.0,0.0,2213772.0,1591.04
129,Madagascar,-523.71,23403014.58,0.0,99717.948,102663.0,3292608.0,5759.6
130,Malawi,-116.82,16146961.27,0.0,99795.05099999999,1286250.0,1257235.0,17133.45
131,Malaisie,100.98,23658888.351999998,0.0,84935.4264,276341148.0,11905908.0,11233.44
132,Cabo Verde,0.0,0.0,164.874706,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
132,Maldives,78.21000000000001,389723.301,0.0,80203.2759,0.0,6120.0,874.9399999999999
133,Mali,-1564.2,16821409.77,0.0,100103.184,4346820.0,9927652.0,21016.8
134,Malte,891.99,339412.568,0.0,77313.5568,52650.0,39150.0,5725.5
135,Martinique,0.0,3447.502,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
136,?les Ca?manes,0.0,0.0,359.32793,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
136,Mauritanie,-807.84,3898785.5500000003,0.0,105365.097,0.0,12810.0,795.9
137,Maurice,780.12,1120515.165,0.0,91029.2418,3084312.0,1594208.0,17075.52
138,Mexique,-627.66,107158057.97399999,0.0,93872.034,4680.0,2412852.0,2203.44
140,Monaco,0.0,335.18100000000004,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
141,Mongolie,590.04,2621090.241,0.0,83995.9713,0.0,40980.0,1064.18
